source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,query_name
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,0.0006451323003090437,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2036,72,19,21026,0.2638888888888889,0.009332023575638507,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']","['PARP3', 'CCAR1', 'MBD3', 'ZC3HAV1', 'TNKS2', 'DEK', 'MBD2', 'MYOCD', 'PARP1', 'YTHDF1', 'HNRNPU', 'MECP2', 'TNKS', 'MAMSTR', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2']","[['IDA'], ['IEA'], ['NAS'], ['IDA', 'IBA'], ['IMP', 'IBA', 'TAS'], ['IDA', 'NAS'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IMP', 'IBA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0032204,regulation of telomere maintenance,0.0006846039916169932,True,"""Any process that modulates the frequency, rate or extent of a process that affects and monitors the activity of telomeric proteins and the length of telomeric DNA."" [GOC:mah]",112,72,5,21026,0.06944444444444445,0.044642857142857144,query_1,"['GO:0000723', 'GO:0033044', 'GO:0051052']","['PARP3', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS']","[['TAS'], ['IMP', 'IBA', 'TAS'], ['ISS'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS']]",Fig3D_VertExpanded
GO:MF,GO:0019843,rRNA binding,0.0007027193004429088,True,"""Binding to a ribosomal RNA."" [GOC:jl]",68,73,4,20246,0.0547945205479452,0.058823529411764705,query_1,['GO:0003723'],"['ERI1', 'FASTKD2', 'ANG', 'FASTKD5']","[['ISS'], ['IDA', 'IEA'], ['TAS'], ['IDA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0009894,regulation of catabolic process,0.0007565223592476937,True,"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]",1040,72,13,21026,0.18055555555555555,0.0125,query_1,"['GO:0009056', 'GO:0019222']","['YTHDC1', 'ZC3HAV1', 'FASTKD2', 'FASTKD3', 'TBRG4', 'FASTKD1', 'YTHDF1', 'HNRNPU', 'TIPARP', 'FASTK', 'YTHDF3', 'YTHDF2', 'FASTKD5']","[['IEA'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP'], ['IMP'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0032608,interferon-beta production,0.0007972932084083553,True,"""The appearance of interferon-beta due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:mah, PMID:15546383]",59,72,4,21026,0.05555555555555555,0.06779661016949153,query_1,['GO:0032606'],"['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2']","[['IMP'], ['IDA'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0032648,regulation of interferon-beta production,0.0007972932084083553,True,"""Any process that modulates the frequency, rate, or extent of interferon-beta production."" [GOC:mah, PMID:15546383]",59,72,4,21026,0.05555555555555555,0.06779661016949153,query_1,"['GO:0032479', 'GO:0032608']","['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2']","[['IMP'], ['IDA'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0032200,telomere organization,0.0007972932084083553,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of telomeres, terminal regions of a linear chromosome that include the telomeric DNA repeats and associated proteins."" [GOC:dph, GOC:jl, GOC:mah]",191,72,6,21026,0.08333333333333333,0.031413612565445025,query_1,['GO:0051276'],"['PARP3', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS', 'XRCC6']","[['IMP', 'TAS'], ['IMP', 'IBA', 'TAS'], ['ISS', 'TAS'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IBA', 'TAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0007004,telomere maintenance via telomerase,0.0008443646893231263,True,"""The maintenance of proper telomeric length by the addition of telomeric repeats by telomerase."" [GOC:elh]",60,72,4,21026,0.05555555555555555,0.06666666666666667,query_1,"['GO:0006278', 'GO:0010833']","['PARP3', 'TNKS2', 'HNRNPU', 'TNKS']","[['TAS'], ['TAS'], ['IMP'], ['IDA', 'IMP', 'TAS']]",Fig3D_VertExpanded
GO:BP,GO:0032355,response to estradiol,0.0009375050319234156,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by estradiol, a C18 steroid hormone hydroxylated at C3 and C17 that acts as a potent estrogen."" [GOC:mah, ISBN:0911910123]",121,72,5,21026,0.06944444444444445,0.04132231404958678,query_1,"['GO:0033993', 'GO:1901700']","['MBD3', 'MBD4', 'MBD2', 'MBD1', 'MECP2']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0003229,ventricular cardiac muscle tissue development,0.0009965362543378484,True,"""The process whose specific outcome is the progression of ventricular cardiac muscle over time, from its formation to the mature structure."" [GOC:mtg_heart]",63,72,4,21026,0.05555555555555555,0.06349206349206349,query_1,['GO:0048738'],"['MBD3', 'MBD2', 'MBD1', 'MECP2']","[['IEA'], ['IEA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0006278,RNA-templated DNA biosynthetic process,0.0009965362543378484,True,"""A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand."" [GOC:mah, ISBN:0198506732]",63,72,4,21026,0.05555555555555555,0.06349206349206349,query_1,['GO:0071897'],"['PARP3', 'TNKS2', 'HNRNPU', 'TNKS']","[['TAS'], ['TAS'], ['IMP'], ['IDA', 'IMP', 'TAS']]",Fig3D_VertExpanded
GO:BP,GO:0071658,regulation of IP-10 production,0.0010378928903133564,True,"""Any process that modulates the frequency, rate, or extent of production of IP-10."" [GOC:mah]",4,72,2,21026,0.027777777777777776,0.5,query_1,"['GO:0032642', 'GO:0071612']","['OAS1', 'OAS3']","[['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0071612,IP-10 production,0.0010378928903133564,True,"""The appearance of IP-10 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, GOC:rv]",4,72,2,21026,0.027777777777777776,0.5,query_1,['GO:0032602'],"['OAS1', 'OAS3']","[['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:2000342,negative regulation of chemokine (C-X-C motif) ligand 2 production,0.0010378928903133564,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of chemokine (C-X-C motif) ligand 2 production."" [GOC:BHF, GOC:mah]",4,72,2,21026,0.027777777777777776,0.5,query_1,"['GO:0032682', 'GO:0072567', 'GO:2000341']","['OAS1', 'OAS3']","[['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:MF,GO:0003684,damaged DNA binding,0.001055480825007345,True,"""Binding to damaged DNA."" [GOC:jl]",76,73,4,20246,0.0547945205479452,0.05263157894736842,query_1,['GO:0003677'],"['RAD18', 'PARP2', 'PARP1', 'XRCC6']","[['NAS'], ['IDA'], ['IDA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0051145,smooth muscle cell differentiation,0.001088646975962679,True,"""The process in which a relatively unspecialized cell acquires specialized features of a smooth muscle cell; smooth muscle lacks transverse striations in its constituent fibers and are almost always involuntary."" [CL:0000192, GOC:ai]",65,72,4,21026,0.05555555555555555,0.06153846153846154,query_1,['GO:0042692'],"['MYOCD', 'MECP2', 'MRTFB', 'MRTFA']","[['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IBA'], ['IMP', 'IBA']]",Fig3D_VertExpanded
GO:BP,GO:0014706,striated muscle tissue development,0.0011218432853653353,True,"""The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."" [CL:0000737, GOC:dph, GOC:mtg_muscle]",408,72,8,21026,0.1111111111111111,0.0196078431372549,query_1,['GO:0060537'],"['MBD3', 'PARP2', 'MBD2', 'MYOCD', 'MBD1', 'HNRNPU', 'MECP2', 'MRTFB']","[['IEA'], ['IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA']]",Fig3D_VertExpanded
GO:MF,GO:0140948,histone H3K9 monomethyltransferase activity,0.0011388042347336023,True,"""Catalysis of the reaction: L-lysyl9-[histone H3] + S-adenosyl-L-methionine = H+ + N6-methyl-L-lysyl9-[histone H3] + S-adenosyl-L-homocysteine. This reaction is the addition of a methyl group to the unmethylated lysine residue at position 9 of histone H3, producing histone H3K9me."" [RHEA:60288]",6,73,2,20246,0.0273972602739726,0.3333333333333333,query_1,['GO:0046974'],"['SETDB2', 'SETDB1']","[['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:MF,GO:0010385,double-stranded methylated DNA binding,0.0011388042347336023,True,"""Binding to double-stranded methylated DNA. Methylation of cytosine or adenine in DNA is an important mechanism for establishing stable heritable epigenetic marks."" [GOC:imk, PMID:17242155]",6,73,2,20246,0.0273972602739726,0.3333333333333333,query_1,['GO:0003690'],"['MBD1', 'MECP2']","[['IDA'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:MF,GO:0070566,adenylyltransferase activity,0.0011388042347336023,True,"""Catalysis of the transfer of an adenylyl group to an acceptor."" [GOC:mah]",31,73,3,20246,0.0410958904109589,0.0967741935483871,query_1,['GO:0016779'],"['OAS1', 'OAS3', 'OAS2']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0009615,response to virus,0.0012313479329402889,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a virus."" [GOC:hb]",414,72,8,21026,0.1111111111111111,0.01932367149758454,query_1,['GO:0051707'],"['OAS1', 'HNRNPUL1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'RNASE2', 'RNASE6']","[['IDA', 'IEP', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:0002831,regulation of response to biotic stimulus,0.0013348377694728047,True,"""Any process that modulates the frequency, rate, or extent of a response to biotic stimulus."" [GOC:add]",540,72,9,21026,0.125,0.016666666666666666,query_1,"['GO:0009607', 'GO:0048583']","['OAS1', 'ZC3HAV1', 'OAS3', 'OASL', 'PARP1', 'PARP14', 'YTHDF3', 'XRCC6', 'YTHDF2']","[['IMP'], ['IMP'], ['IMP'], ['IDA'], ['IDA', 'IMP'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA'], ['IMP']]",Fig3D_VertExpanded
GO:CC,GO:0016607,nuclear speck,0.0013382660129958744,True,"""A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy."" [PMID:28977640]",419,73,8,22149,0.1095890410958904,0.01909307875894988,query_1,['GO:0016604'],"['BAZ2A', 'YTHDC1', 'SF3B2', 'ACIN1', 'MBD4', 'MBD1', 'HNRNPU', 'SARNP']","[['IDA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IDA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:2001141,regulation of RNA biosynthetic process,0.0015333378350581815,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",3428,72,25,21026,0.3472222222222222,0.007292882147024504,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']","['CCAR1', 'MBD3', 'BAZ2A', 'BAZ2B', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'SLTM', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'MRTFB', 'XRCC6', 'MRTFA', 'SARNP']","[['IEA'], ['IBA', 'NAS'], ['ISO', 'NAS'], ['NAS'], ['IDA', 'TAS', 'NAS'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IBA'], ['IDA', 'IBA', 'IEA'], ['NAS'], ['ISS'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['IBA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA'], ['IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:0034654,nucleobase-containing compound biosynthetic process,0.001542598317893177,True,"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",7076,72,40,21026,0.5555555555555556,0.005652911249293386,query_1,"['GO:0006139', 'GO:0009058']","['PARP3', 'CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'ACIN1', 'ERI1', 'HNRNPUL1', 'TNKS2', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['TAS'], ['IEA'], ['IBA', 'NAS'], ['ISO', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS'], ['TAS'], ['IDA', 'IBA'], ['NAS'], ['IBA'], ['IDA', 'TAS', 'NAS'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IMP', 'IBA'], ['IBA'], ['IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS'], ['ISS'], ['IDA', 'IMP', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA', 'IMP', 'TAS'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IMP'], ['IEA'], ['IMP'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0051607,defense response to virus,0.0015551915289767774,True,"""Reactions triggered in response to the presence of a virus that act to protect the cell or organism."" [GOC:ai]",319,72,7,21026,0.09722222222222222,0.0219435736677116,query_1,"['GO:0009615', 'GO:0098542']","['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'RNASE2', 'RNASE6']","[['IDA', 'IEP', 'IBA', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:1904355,positive regulation of telomere capping,0.0016070752205772673,True,"""Any process that activates or increases the frequency, rate or extent of telomere capping."" [GO_REF:0000058, GOC:BHF, GOC:BHF_telomere, GOC:nc, GOC:TermGenie, PMID:23959892]",5,72,2,21026,0.027777777777777776,0.4,query_1,"['GO:0016233', 'GO:0032206', 'GO:1904353']","['TNKS2', 'TNKS']","[['IMP', 'IBA'], ['IMP', 'IBA']]",Fig3D_VertExpanded
GO:BP,GO:0051053,negative regulation of DNA metabolic process,0.0016070752205772673,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",139,72,5,21026,0.06944444444444445,0.03597122302158273,query_1,"['GO:0006259', 'GO:0010605', 'GO:0045934', 'GO:0051052']","['PARP3', 'TNKS2', 'PARP1', 'HNRNPU', 'TNKS']","[['ISS', 'TAS', 'IEA'], ['IMP'], ['ISS'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0039529,RIG-I signaling pathway,0.001640641418728512,True,"""The series of molecular signals initiated by the binding ssRNA or dsRNA from another organism to the cytoplasmic pattern recognition receptor (PRR) RIG-1 (also known as DDX58). RIG-I detects RNA synthesized during viral replication or shed by non-viral pathogens, and triggers a signaling pathway to protect the host against infection, for example by inducing the expression of cytokines."" [GOC:bf, PMID:17328678, PMID:19620789, PMID:21435580, PMID:25579795]",28,72,3,21026,0.041666666666666664,0.10714285714285714,query_1,['GO:0002753'],"['ZC3HAV1', 'OAS3', 'OASL']","[['IMP'], ['IMP'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:0051254,positive regulation of RNA metabolic process,0.001640641418728512,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1835,72,17,21026,0.2361111111111111,0.009264305177111716,query_1,"['GO:0010604', 'GO:0016070', 'GO:0045935', 'GO:0051252']","['CCAR1', 'MBD3', 'ZC3HAV1', 'DEK', 'MBD2', 'MYOCD', 'PARP1', 'YTHDF1', 'HNRNPU', 'MECP2', 'TNKS', 'MAMSTR', 'YTHDF3', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2']","[['IEA'], ['NAS'], ['IDA', 'IBA'], ['IDA', 'NAS'], ['NAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IEA'], ['IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0032481,positive regulation of type I interferon production,0.001742213996998206,True,"""Any process that activates or increases the frequency, rate, or extent of type I interferon production. Type I interferons include the interferon-alpha, beta, delta, episilon, zeta, kappa, tau, and omega gene families."" [GOC:add, GOC:mah]",75,72,4,21026,0.05555555555555555,0.05333333333333334,query_1,"['GO:0001819', 'GO:0032479', 'GO:0032606']","['OAS1', 'ZC3HAV1', 'OAS3', 'OAS2']","[['IMP'], ['IDA', 'IBA'], ['IMP'], ['IMP']]",Fig3D_VertExpanded
GO:MF,GO:0140096,"catalytic activity, acting on a protein",0.0018047201236301453,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",2849,73,22,20246,0.3013698630136986,0.007722007722007722,query_1,['GO:0003824'],"['PARP3', 'PARP12', 'CCAR1', 'RAD18', 'PARP4', 'TNKS2', 'PARP11', 'PARP2', 'SETDB2', 'PARP6', 'PARP16', 'SETDB1', 'PARP1', 'PARP8', 'TIPARP', 'FASTK', 'PARP14', 'PARP15', 'TNKS', 'PARP10', 'MRTFB', 'MRTFA']","[['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IBA'], ['IEA'], ['IDA'], ['IDA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IEA'], ['IEA']]",Fig3D_VertExpanded
GO:BP,GO:1903313,positive regulation of mRNA metabolic process,0.00183893228438333,True,"""Any process that activates or increases the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]",144,72,5,21026,0.06944444444444445,0.034722222222222224,query_1,"['GO:0016071', 'GO:0051254', 'GO:1903311']","['ZC3HAV1', 'YTHDF1', 'HNRNPU', 'YTHDF3', 'YTHDF2']","[['IDA', 'IBA'], ['IDA', 'IBA'], ['IDA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0006259,DNA metabolic process,0.001935893917993887,True,"""Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides."" [ISBN:0198506732]",1005,72,12,21026,0.16666666666666666,0.011940298507462687,query_1,['GO:0090304'],"['PARP3', 'RAD18', 'PARP4', 'TNKS2', 'DEK', 'MBD4', 'PARP2', 'PARP1', 'HNRNPU', 'TNKS', 'PARP10', 'XRCC6']","[['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['TAS', 'NAS'], ['IMP', 'IBA', 'TAS'], ['IMP', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'TAS', 'IEA'], ['IMP'], ['IDA', 'IMP', 'IBA', 'TAS'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]",Fig3D_VertExpanded
GO:BP,GO:0045948,positive regulation of translational initiation,0.0019480483542379866,True,"""Any process that activates or increases the frequency, rate or extent of translational initiation."" [GOC:go_curators]",30,72,3,21026,0.041666666666666664,0.1,query_1,"['GO:0006413', 'GO:0006446', 'GO:0045727']","['YTHDF1', 'YTHDF3', 'YTHDF2']","[['IDA'], ['IDA'], ['IDA']]",Fig3D_VertExpanded
GO:BP,GO:0006955,immune response,0.0021312799645898752,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2070,72,18,21026,0.25,0.008695652173913044,query_1,"['GO:0002376', 'GO:0050896']","['PARP3', 'OAS1', 'ZC3HAV1', 'OAS3', 'OAS2', 'OASL', 'PARP1', 'RNASE7', 'RNASE2', 'RNASE3', 'RNASE6', 'PARP14', 'RNASE8', 'YTHDF3', 'XRCC6', 'YTHDF2', 'ANG', 'RNASE4']","[['ISS', 'IEA'], ['IDA', 'IMP', 'IEP', 'IEA'], ['IMP', 'IEA'], ['IMP', 'IEA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IBA', 'IEA'], ['IDA', 'IBA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA'], ['ISS', 'IEA'], ['IDA', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IBA', 'IEA'], ['IMP']]",Fig3D_VertExpanded
GO:BP,GO:0032774,RNA biosynthetic process,0.002189625895885684,True,"""The chemical reactions and pathways resulting in the formation of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage. Includes polymerization of ribonucleotide monomers. Refers not only to transcription but also to e.g. viral RNA replication."" [GOC:mah, GOC:txnOH]",6671,72,38,21026,0.5277777777777778,0.005696297406685654,query_1,"['GO:0016070', 'GO:0141187']","['CCAR1', 'MBD3', 'BAZ2A', 'YTHDC1', 'SF3B2', 'ACIN1', 'ERI1', 'HNRNPUL1', 'FASTKD2', 'BAZ2B', 'FASTKD3', 'DEK', 'SAFB2', 'MBD2', 'SETDB2', 'TBRG4', 'SLTM', 'FASTKD1', 'MYOCD', 'MBD1', 'SETDB1', 'PARP1', 'HNRNPU', 'SAFB', 'FASTK', 'MECP2', 'PARP14', 'PARP15', 'TNKS', 'MAMSTR', 'PARP10', 'MRTFB', 'XRCC6', 'MRTFA', 'YTHDF2', 'SARNP', 'ANG', 'FASTKD5']","[['IEA'], ['IBA', 'NAS'], ['ISO', 'NAS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IC', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IMP', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA'], ['NAS'], ['IBA'], ['IDA', 'TAS', 'NAS'], ['IBA'], ['IGI', 'IBA', 'NAS', 'IEA'], ['ISS'], ['IMP', 'IBA'], ['IBA'], ['IBA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS', 'NAS'], ['ISS'], ['IDA', 'ISS', 'TAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'IC', 'IEA'], ['IBA'], ['IDA', 'IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IMP'], ['IDA'], ['IBA', 'IEA'], ['IMP', 'IEA'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IDA', 'IMP'], ['IDA', 'IGI', 'IBA', 'IEA'], ['IMP'], ['IEA'], ['IMP'], ['IMP', 'IBA', 'IEA']]",Fig3D_VertExpanded
GO:CC,GO:0071782,endoplasmic reticulum tubular network,0.002259492181121212,True,"""A subcompartment of the endoplasmic reticulum consisting of tubules having membranes with high curvature in cross-section."" [GOC:vw, PMID:16469703, PMID:20434336]",30,73,3,22149,0.0410958904109589,0.1,query_1,['GO:0098827'],"['PARP6', 'PARP16', 'PARP8']","[['IBA', 'IEA'], ['IMP', 'IBA'], ['IBA']]",Fig3D_VertExpanded
